@relation Mood_sharing

@attribute usedName string
@attribute following numeric
@attribute follower numeric
@attribute numOfTweets numeric
@attribute mentionScore numeric
@attribute hashtagScore numeric
@attribute numOfArticleShared numeric
@attribute numOfArticleSharedDist numeric
@attribute numOfFavorities numeric
@attribute numOfList numeric
@attribute upbeat numeric
@attribute worried numeric
@attribute angry numeric
@attribute depress numeric
@attribute plugedIn numeric
@attribute personable numeric
@attribute distant numeric
@attribute spacy numeric
@attribute analytic numeric
@attribute sensory numeric
@attribute inTheMoment numeric
@attribute openness numeric
@attribute consciousness numeric
@attribute extraversion numeric
@attribute agreeableness numeric
@attribute neuroticism numeric
@attribute avglikes numeric
@attribute mood_indignant numeric
@attribute mood_disappointed numeric
@attribute mood_worried numeric
@attribute mood_amused numeric
@attribute mood_satisfied numeric
@data
SonoriaStudios,161,267,1057,0.01537433155080214,0.11029411764705882,9,0.04433,12,2,12,59,16,52,27,8,52,53,12,17,38,0.22800000000000015,0.1690499999999998,0.18500000000000003,0.16200000000000003,0.11499999999999994,2.4638204707170224,0.15,0.08,0.02,0.08,0.66
ylefsch,1448,1366,27300,0.011221945137157107,0.0885286783042394,3,0.024,28900,6,13,90,20,52,46,22,53,82,11,26,38,0.245,0.13700000000000015,0.14166666666666666,0.1485,0.10642857142857153,2.5596938775510205,0.41,0.13,0,0.04,0.41
robertolofaro,544,291,6400,3.7105751391465676E-4,0.46938775510204084,3,0.01389,3,0,39,36,40,24,98,25,68,47,21,20,29,0.21800000000000022,0.19064999999999951,0.17777777777777773,0.11900000000000008,0.15642857142857158,3.0041565172951343,0.47,0.16,0.1,0.07,0.2
PaoloPignocchi,512,172,2622,0.05588235294117647,0.010294117647058823,48,0.23529,8,0,13,56,37,50,18,9,41,42,10,12,46,0.22900000000000023,0.1808000000000002,0.1491666666666667,0.20000000000000004,0.10678571428571448,4.445945945945946,0.47,0.03,0,0.01,0.49
MadeleineWall29,94,35,247,0.004691164972634871,0.05003909304143862,2,0.02353,13,0,49,71,73,39,61,42,81,48,61,42,33,0.2529999999999999,0.18543333333333326,0.18361111111111106,0.11699999999999991,0.18000000000000022,2.428921568627451,0.65,0.05,0.12,0.11,0.07
MeryStreet,1477,1353,9163,0.009417808219178082,0.0586472602739726,110,0.71429,2458,12,12,34,17,45,44,9,73,46,10,15,35,0.2559999999999999,0.14356666666666656,0.15916666666666662,0.137,0.11410714285714288,2.6388676837328946,0.33,0.14,0.07,0.11,0.35
albertamanzoni,1999,1774,26100,0.007142857142857143,0.04857142857142857,21,0.35,13200,0,11,29,23,46,31,7,59,48,8,11,37,0.255,0.1382000000000001,0.1616666666666667,0.13149999999999998,0.13339285714285715,2.7578520925187355,0.45,0.14,0.13,0.07,0.22
laRossa05,2914,3602,244000,0.0196078431372549,0.09803921568627451,17,0.34694,7827,8,15,27,31,48,45,9,52,36,15,19,35,0.18700000000000014,0.17910000000000068,0.1108333333333334,0.198,0.08428571428571463,3.1978215161818593,0.52,0.05,0.08,0.11,0.24
Sam221b,425,764,84000,0.006432246998284734,0.0630360205831904,4,0.02484,7825,1,18,34,36,56,33,13,62,37,19,23,48,0.2660000000000002,0.14089999999999972,0.13000000000000003,0.09466666666666665,0.1162499999999999,4.125502008032129,0.52,0.06,0.02,0.01,0.39
fsoriag,137,536,24400,0.0,0.0,1,0.00518,4587,1,10,36,19,51,18,8,37,22,11,14,35,0.1920000000000001,0.17020000000000082,0.10666666666666673,0.18999999999999992,0.05607142857142863,5.023809523809524,0.24,0.28,0.05,0.04,0.39
vietinas,96,343,16100,0.02393523407250968,0.052094332981344596,42,0.21,250,1,12,21,16,46,26,6,49,46,7,14,35,0.272,0.12640000000000018,0.13416666666666666,0.12299999999999994,0.09767857142857153,1.4625364433279218,0.21,0.27,0.14,0.09,0.28
ValeFa74,150,364,6097,0.1908713692946058,0.050484094052558784,5,0.04425,804,0,17,46,22,57,68,10,67,48,8,13,37,0.22700000000000015,0.14023333333333338,0.15166666666666667,0.13449999999999995,0.1160714285714287,1.7121212121212122,0.1,0,0.1,0.04,0.76
manuvolt,576,520,2111,0.015582034830430797,0.17094408799266728,5,0.0289,55,1,12,28,19,57,47,9,66,48,8,19,39,0.2270000000000001,0.11225000000000017,0.13583333333333333,0.11383333333333329,0.0994642857142857,2.4152117024986506,0.59,0.06,0.07,0.04,0.25
aleandreotti,2001,1004,29500,0.008456659619450317,0.046511627906976744,30,0.85714,10400,87,17,40,17,45,39,11,59,35,12,20,38,0.23400000000000015,0.17384999999999978,0.1708333333333333,0.17400000000000002,0.12535714285714306,1.9841371123583595,0.33,0.06,0.06,0.13,0.42
EasyDiplomacy,679,576,2284,0.063264221158958,0.18394471026049974,4,0.02667,92,1,19,28,18,42,72,11,72,30,11,22,30,0.2530000000000001,0.19799999999999948,0.18416666666666665,0.16699999999999998,0.14107142857142851,1.8641633012322667,0.34,0.06,0.14,0.07,0.39
sulsa319,1673,966,13300,0.0406015037593985,0.09924812030075188,5,0.03817,3811,0,10,92,25,47,42,8,48,26,9,74,41,0.24500000000000025,0.1505000000000002,0.1516666666666667,0.13549999999999998,0.14446428571428588,2.663213689260618,0.47,0.04,0.07,0.06,0.36
GermanoBastardi,632,765,21800,0.026595744680851064,0.11790780141843972,9,0.09783,25500,0,12,77,16,47,47,19,58,46,8,16,43,0.27,0.12290000000000023,0.13583333333333336,0.168,0.10982142857142863,2.0740729671455713,0.34,0.15,0.06,0,0.44
lumorisi,151,2336,16000,0.007508342602892102,0.02586206896551724,23,0.09091,3000,?,11,21,21,51,17,6,47,26,7,11,31,0.23500000000000015,0.11679999999999992,0.1275,0.109,0.10428571428571425,13.45382802582581,0.51,0.1,0.08,0.06,0.25
ManuelaCeli,70,22,88,0.06382978723404255,0.0,3,1,4,0,13,29,18,52,69,9,72,35,10,16,39,0.19200000000000017,0.17720000000000036,0.13916666666666672,0.19399999999999998,0.08678571428571467,3.663003663003663,0.22,0,0,0,0.77
torinocity,65,9383,3721,0.0,0.007839127471029312,3,0.01351,0,0,13,54,16,46,11,11,53,56,8,16,36,0.24700000000000016,0.11559999999999998,0.13750000000000007,0.11599999999999998,0.1042857142857142,1.0,0.12,0,0,0.04,0.84
curarsinaturale,1927,911,7568,0.009659806803863923,0.036539269214615706,7,0.03084,14,1,10,93,16,53,17,17,43,58,8,15,40,0.21400000000000005,0.10770000000000009,0.13666666666666671,0.1255,0.08910714285714295,2.1417663793824784,0.36,0.09,0.03,0.02,0.5
davidebassani,949,1393,12800,0.013135351227869789,0.1981724728726442,6,0.03593,2059,0,19,39,16,45,57,15,53,38,9,21,40,0.22999999999999995,0.13169999999999987,0.1483333333333333,0.11250000000000006,0.09982142857142857,4.0792856616912285,0.4,0.03,0.01,0.02,0.53
frossinni,125,105,48000,0.0,4.3506634761801175E-4,53,0.20385,18,?,12,40,18,46,15,11,52,50,10,16,34,0.22300000000000003,0.14397499999999983,0.18916666666666662,0.13849999999999996,0.10758928571428568,1.4205951098341545,0.21,0.07,0.1,0.16,0.45
damianusm,287,97,2185,0.011611030478955007,0.07656023222060958,91,0.44608,10,3,10,30,16,50,23,7,54,35,7,13,39,0.2430000000000001,0.16219999999999957,0.18499999999999994,0.14500000000000002,0.11250000000000003,1.9331849468920697,0.33,0.13,0.12,0.13,0.29
lbonaccorso,147,49,342,0.03015075376884422,0.02568397543271915,7,0.03933,5,0,14,19,17,44,37,7,78,38,10,25,40,0.27600000000000013,0.13848333333333335,0.15333333333333335,0.12649999999999995,0.09089285714285719,1.0343347639484979,0.94,0.03,0.02,0.01,0.01
1970Germano,1208,1093,36400,0.026785714285714284,0.06696428571428571,39,0.79592,7331,8,15,27,16,45,34,9,60,24,10,13,38,0.2390000000000001,0.13059999999999994,0.1725,0.1505000000000001,0.12500000000000003,2.945710023639979,0.41,0.16,0.04,0.09,0.31
Antodeluc,321,185,735,0.002288329519450801,0.002288329519450801,4,0.05263,1473,0,11,54,16,51,51,12,69,28,9,15,44,0.21900000000000014,0.1604999999999999,0.1933333333333334,0.17749999999999994,0.09607142857142892,4.39494016058173,0.42,0.01,0.01,0.01,0.54
francescagatt17,683,530,19400,0.0644468313641246,0.0053705692803437165,19,0.21348,134,0,13,50,25,58,20,10,42,30,11,11,44,0.26200000000000007,0.15420000000000014,0.15333333333333324,0.1905,0.13428571428571448,4.1780629257059,0.61,0.14,0.03,0.03,0.2
minomazz,1055,947,9582,0.024522028262676642,0.02535328345802161,5,0.0365,236,1,20,40,25,47,35,14,62,49,19,21,38,0.24099999999999988,0.13220000000000004,0.14416666666666667,0.13666666666666666,0.0830357142857143,3.191570648878108,0.82,0.07,0.03,0.03,0.06
FabioBortone,1704,1516,22900,0.017839444995044598,0.040634291377601585,30,0.28302,12200,7,19,25,22,49,45,9,46,93,9,19,41,0.25100000000000017,0.15394999999999975,0.15666666666666673,0.17200000000000007,0.12607142857142867,1.5684524551097019,0.09,0.08,0.12,0.16,0.56
maurett,1077,2660,34100,0.07234212629896083,0.06914468425259793,5,0.02538,339,0,13,31,19,44,46,8,60,33,12,16,32,0.23599999999999993,0.16101666666666642,0.15250000000000002,0.1245,0.14321428571428577,1.481232492997199,0.52,0.02,0.03,0.01,0.43
houkart,359,218,2391,0.006020469596628537,0.11559301625526791,3,0.01523,97,0,16,49,22,43,51,11,62,45,10,11,39,0.24699999999999991,0.13500000000000012,0.15027777777777773,0.09849999999999992,0.09785714285714284,1.1451612903225807,0.44,0.16,0.16,0.16,0.08
PontiBenedetto,104,333,3183,0.12641083521444696,0.024830699774266364,2,0.05882,328,?,22,39,26,54,47,13,72,41,14,13,39,0.251,0.1407500000000001,0.16749999999999998,0.14950000000000005,0.11232142857142874,2.837940896091516,0.75,0.05,0.03,0,0.17
giroditalia,688,346000,12100,0.022206303724928367,0.08954154727793696,3,0.02069,108,0,28,56,22,44,50,20,48,31,18,17,29,0.23399999999999999,0.18749166666666617,0.1691666666666666,0.14966666666666673,0.14839285714285727,1.3928571428571428,0.13,0.31,0.22,0.04,0.27
mariliabonadies,1299,1311,35400,0.00625,0.003125,5,0.16129,4050,?,15,29,26,51,49,13,58,31,11,19,44,0.17600000000000002,0.18119999999999936,0.1900000000000001,0.17350000000000002,0.20339285714285757,49.086419753086425,0.88,0.1,0.01,0,0.01
stefaniaspano,180,340,10400,9.532888465204957E-4,0.05465522720050842,45,0.17308,6,1,16,21,16,44,23,7,48,45,7,15,36,0.2479999999999999,0.11402500000000008,0.1533333333333333,0.15400000000000003,0.06571428571428581,3.4151239476686066,0.49,0.16,0.05,0.08,0.22
frapuliti,447,521,7505,0.013594344752582926,0.0674279499728113,6,0.03333,315,0,14,49,17,53,34,12,52,54,11,18,39,0.2540000000000001,0.12030000000000012,0.13500000000000004,0.12016666666666666,0.10035714285714276,1.6216216216216217,0.87,0,0,0,0.13
vitsca,59,176,1412,0.002574002574002574,0.003432003432003432,36,0.15254,7,0,15,40,17,43,25,11,53,66,9,21,38,0.22799999999999998,0.11739999999999984,0.15583333333333338,0.17599999999999993,0.09071428571428569,2.2568124548527475,0.29,0.15,0.16,0.12,0.27
djfoxinc,97,64,4434,7.785130400934215E-4,0.005449591280653951,31,0.13596,2,0,16,44,20,43,16,17,27,49,12,21,40,0.24499999999999988,0.11969999999999997,0.1225,0.12350000000000005,0.09089285714285704,2.91765771681234,0.5,0.05,0.07,0.08,0.3
schirripa,207,47,1729,0.01866251944012442,0.014774494556765163,9,0.04918,141,0,16,38,16,49,21,11,52,33,8,15,38,0.22700000000000004,0.12755000000000022,0.13916666666666663,0.13199999999999995,0.10107142857142859,4.385614385614386,0.29,0.61,0.02,0.04,0.04
andreaplazzi,173,798,1782,9.161704076958314E-4,0.001374255611543747,13,0.05702,5,0,10,48,21,51,14,10,31,50,8,17,43,0.2299999999999999,0.11643333333333353,0.12583333333333335,0.14599999999999996,0.08267857142857139,2.2893837641770816,0.43,0.07,0.14,0.1,0.25
AntoninoMezzape,1377,513,2148,0.004206098843322818,0.0010515247108307045,1,0.00662,1842,2,14,34,16,43,21,9,54,29,8,17,38,0.229,0.15499999999999967,0.14166666666666666,0.12450000000000008,0.14857142857142844,3.0950570342205324,0.66,0.04,0.04,0.07,0.19
filippopos,91,18,1036,0.0,0.0,25,2.77778,8,0,12,19,19,46,38,7,61,29,10,23,36,0.18300000000000008,0.18040000000000087,0.09250000000000007,0.18799999999999994,0.06964285714285749,3.0263958586556217,0.33,0.12,0.07,0.06,0.42
abesibe,982,901,6933,0.0365990990990991,0.06756756756756757,2,0.0177,1980,?,14,43,19,49,38,12,52,46,10,13,39,0.2309999999999999,0.14413333333333336,0.15166666666666664,0.131,0.12339285714285714,4.08,0.23,0.15,0.05,0.02,0.55
CanapaToscana,60,316,89,0.0064,0.004,10,0.09615,0,0,10,21,16,51,8,7,57,58,9,16,40,0.2080000000000001,0.15533333333333324,0.1633333333333334,0.161,0.11857142857142863,3.116024187452759,0.21,0.06,0.1,0.08,0.56
luca5587,1147,888,5024,0.04608294930875576,0.07373271889400922,8,0.25806,1434,0,18,23,16,41,49,10,63,28,14,12,41,0.22000000000000022,0.14399999999999985,0.16166666666666665,0.19350000000000006,0.13071428571428587,2.0565681444991792,0.28,0.09,0.04,0.16,0.43
tulliocampana,745,842,19300,0.009248554913294798,0.07398843930635839,7,0.06422,10500,2,11,53,31,48,73,11,63,72,8,16,41,0.27300000000000013,0.10630000000000016,0.1283333333333333,0.1319999999999999,0.10303571428571427,2.615551058482518,0.57,0.07,0.13,0.07,0.15
avvocato2punto0,3106,3213,31900,0.021253985122210415,0.024442082890541977,39,0.37864,11600,5,8,44,23,54,30,7,44,28,8,18,37,0.23199999999999998,0.1408999999999998,0.16333333333333344,0.12749999999999995,0.11214285714285711,2.415679804142735,0.5,0.06,0.08,0.1,0.27
ilPrivi,588,110,710,6.548788474132286E-4,0.012442698100851343,2,0.00922,19,?,15,25,16,53,14,8,43,54,9,28,34,0.20800000000000002,0.1325333333333332,0.13833333333333328,0.09800000000000005,0.1032142857142856,2.789473684210526,0.67,0.11,0,0.11,0.11
MCarroggio,752,1960,3312,0.032467532467532464,0.03571428571428571,5,0.03937,1352,?,18,21,24,47,34,8,49,41,11,18,34,0.22200000000000014,0.16439999999999974,0.16916666666666672,0.18200000000000002,0.15428571428571417,2.175834824090638,0.26,0.07,0.08,0.05,0.55
SimonaBellocci,1372,966,3958,0.05772005772005772,0.16161616161616163,6,0.05505,1766,?,13,31,16,45,64,8,63,37,8,11,40,0.2650000000000001,0.1318000000000003,0.14833333333333326,0.13800000000000004,0.1237500000000001,2.125,0.11,0.34,0.11,0.22,0.22
Aiuwa,854,1618,16700,0.007140307033202428,0.09568011424491253,14,0.08046,430,13,17,47,16,41,37,13,57,44,8,28,40,0.21199999999999986,0.11520000000000001,0.1491666666666666,0.12399999999999999,0.0739285714285714,2.8651762395815537,0.56,0.07,0.06,0.03,0.28
temporaryfransi,636,381,1733,0.023762376237623763,0.10231023102310231,8,0.07018,1697,0,28,23,19,55,49,12,69,41,9,27,45,0.24200000000000008,0.13682500000000009,0.16500000000000006,0.14250000000000004,0.13125000000000012,2.827090138789418,0.3,0.34,0.03,0.03,0.3
RobMaggioni,986,1079,2872,0.07669263031755542,0.06051527860994608,17,0.15315,965,0,8,46,19,51,66,9,66,35,10,16,37,0.2500000000000001,0.13140000000000016,0.15083333333333326,0.162,0.1383928571428571,2.741907244152625,0.43,0.13,0.07,0.09,0.27
eumaaringhieri,883,440,1163,0.047339593114241005,0.14593114241001565,35,0.2071,102,?,14,28,17,45,47,9,56,33,9,15,37,0.256,0.16548333333333312,0.12999999999999998,0.147,0.1251785714285715,1.2350139133644287,0.29,0.04,0.1,0.11,0.46
addestrato,2409,2767,18700,0.004608294930875576,0.015360983102918587,4,0.06897,2785,?,13,30,20,58,29,10,41,22,8,22,41,0.2340000000000001,0.15535000000000004,0.15583333333333335,0.1755000000000001,0.1257142857142859,3.787045324153758,0.04,0.02,0.16,0.2,0.58
dottorbarbieri,318,329,8976,0.09808612440191387,0.07416267942583732,19,0.54286,1064,?,12,51,19,53,46,12,61,49,10,17,36,0.22900000000000006,0.1676000000000001,0.1383333333333333,0.15850000000000006,0.13321428571428584,3.4011049244575067,0.63,0.06,0.03,0.05,0.22
AndreaBertaglio,4631,6209,6661,0.06150506512301013,0.05065123010130246,5,0.05208,2529,?,13,36,26,44,46,9,53,35,9,30,40,0.2190000000000002,0.14979999999999988,0.13250000000000003,0.1035,0.11874999999999998,4.56297383223282,0.61,0.11,0.03,0.01,0.23
MimmoMoramarco,245,35900,9127,0.02987598647125141,0.09188275084554678,11,0.05046,188,2,11,59,16,49,57,12,72,52,9,26,41,0.21300000000000005,0.10779999999999998,0.13083333333333325,0.1238333333333333,0.10321428571428565,3.6477281413606604,0.36,0.17,0.05,0.04,0.37
maurlembo,176,212,687,0.10281065088757396,0.07248520710059171,6,0.05172,149,0,12,19,16,45,61,7,73,30,8,15,38,0.24599999999999994,0.12122500000000032,0.11333333333333336,0.15399999999999994,0.10321428571428581,1.7753863725595174,0.52,0.05,0.03,0.18,0.22
ladyfata,1011,2642,55600,8.841732979664014E-4,0.020335985853227233,2,0.01942,161000,0,9,29,21,59,50,8,64,44,12,17,42,0.24299999999999997,0.11960000000000016,0.12499999999999994,0.19250000000000006,0.1282142857142858,1.8823529411764706,0,0.9,0.03,0,0.07
mariellarosati,525,211,9651,7.575757575757576E-4,0.0030303030303030303,40,0.21053,226,1,11,19,20,47,26,6,58,28,8,11,41,0.2450000000000002,0.13500000000000006,0.1916666666666667,0.1825,0.09892857142857145,1.6727136024842248,0.46,0.07,0.07,0.12,0.29
romano5stellebs,313,831,58600,0.21774193548387097,0.05846774193548387,13,0.28889,32,?,9,21,16,57,56,5,61,34,8,19,37,0.242,0.16879999999999998,0.17250000000000004,0.17350000000000002,0.1376785714285717,0.3333333333333333,1,0,0,0,0
BCostalonga,244,141,825,0.07274590163934426,0.06557377049180328,17,0.18478,31,0,15,54,26,42,39,13,66,41,10,21,30,0.225,0.18519999999999967,0.17333333333333345,0.171,0.1382142857142858,2.3539358286662377,0.27,0.06,0.11,0.15,0.41
federiconegrini,2000,291,2610,0.07607950651130911,0.10349554489376285,13,0.12871,25700,0,21,21,18,44,50,8,71,27,9,18,37,0.22700000000000017,0.14050000000000004,0.1383333333333333,0.13649999999999993,0.11714285714285723,3.1066127304943594,0.68,0.1,0.08,0.03,0.11
nikdist,2002,654,2597,0.04159935379644588,0.37237479806138934,98,0.44749,2,0,11,23,19,50,91,6,57,36,7,16,39,0.23399999999999999,0.15434999999999988,0.16250000000000017,0.1606666666666667,0.11035714285714289,1.588696811780213,0.24,0.06,0.1,0.12,0.47
ThManfredi,716,3406,31300,0.032305978462681025,0.0022279985146676567,38,0.24359,6745,9,15,77,19,65,37,17,67,38,19,13,37,0.23299999999999998,0.13440000000000013,0.1391666666666666,0.13249999999999995,0.08428571428571435,2.026573817985732,0.55,0.06,0.12,0.05,0.21
wganapini,200,2611,29300,0.16555661274976213,0.014272121788772598,3,0.01829,105,1,17,54,21,44,48,14,78,25,14,38,30,0.22500000000000003,0.16154999999999942,0.15583333333333352,0.14416666666666667,0.14874999999999994,1.0974910394265234,0.26,0.04,0.37,0,0.33
paolopugni,10500,9959,60800,0.001349527665317139,0.01788124156545209,57,0.25446,1638,101,14,61,19,64,33,16,51,50,10,15,44,0.243,0.14578333333333307,0.11750000000000003,0.1396666666666666,0.11214285714285707,2.371517922059273,0.34,0.07,0.09,0.04,0.46
amocomesono,501,164,370,0.0,0.16901408450704225,2,0.00966,70,?,19,22,20,41,19,7,50,41,8,10,42,0.256,0.14652500000000002,0.15833333333333335,0.16,0.13000000000000006,3.1332007952286283,0.35,0.07,0.02,0.02,0.54
marcopascali,624,640,1941,0.04601479046836483,0.13393590797041907,6,0.03593,0,0,11,35,19,44,56,9,58,36,10,27,37,0.23100000000000004,0.13080000000000006,0.13833333333333328,0.11199999999999996,0.11928571428571441,1.5344808945726378,0.05,0.04,0.24,0.17,0.5
HelenaJacobs,1577,1439,13600,0.010471204188481676,0.02356020942408377,21,0.26582,41,0,23,37,46,42,48,28,65,56,43,18,44,0.22900000000000006,0.17419999999999966,0.17250000000000018,0.19350000000000012,0.13607142857142876,4.125502008032129,0.52,0.06,0.02,0.01,0.39
benevenagli,47,7,335,0.011363636363636364,0.2215909090909091,4,0.06897,311,0,12,19,16,48,43,8,76,30,10,12,40,0.24700000000000005,0.15130000000000038,0.16416666666666666,0.1545,0.11857142857142891,1.0,0.1,0,0.1,0.1,0.7
NoraSchareika,392,282,1186,0.0966183574879227,0.14492753623188406,3,0.02586,371,0,17,36,38,46,50,8,61,32,17,17,41,0.19500000000000015,0.17210000000000011,0.16750000000000004,0.18100000000000002,0.08232142857142867,3.7844381545997,0.42,0.11,0.03,0.04,0.39
VZaitzev,503,366,7797,0.011711711711711712,0.054954954954954956,5,0.05,785,3,16,21,20,45,40,7,53,25,9,14,39,0.2220000000000002,0.11775000000000013,0.14749999999999996,0.126,0.11910714285714286,1.7315383829463526,0.46,0.04,0.31,0.05,0.14
AlfonsoFuggetta,256,4425,20300,0.03388278388278388,0.020604395604395604,44,0.27673,2707,0,13,32,16,48,29,10,54,32,12,16,39,0.23699999999999996,0.1152500000000001,0.1466666666666667,0.08349999999999995,0.09249999999999989,2.791693833246091,0.41,0.08,0.07,0.07,0.36
ALBERTINIGabry,1800,1854,27800,0.030025020850708923,0.008340283569641367,73,0.66972,29000,1,13,21,16,46,38,7,68,28,9,14,39,0.26000000000000034,0.17329999999999993,0.15916666666666673,0.15850000000000006,0.12910714285714292,2.3199030147907704,0.24,0.16,0.07,0.11,0.41
SimoneLodi,296,241,3270,0.010416666666666666,0.08472222222222223,9,0.09184,163,0,11,41,16,49,46,11,66,26,10,15,39,0.2630000000000002,0.13439999999999988,0.13083333333333333,0.12850000000000011,0.10517857142857134,1.8744186046511628,0.38,0.27,0.04,0.09,0.22
StefanoValzania,61,15,4809,0.0,0.0,1,0.00452,?,?,12,53,16,45,15,13,48,90,9,12,38,0.23400000000000015,0.10990000000000007,0.12999999999999998,0.14699999999999996,0.07499999999999996,8.3375,0.82,0.03,0.08,0.02,0.05
warburg100,272,1021,25500,0.028716216216216218,0.013513513513513514,14,0.0733,3823,18,23,49,18,55,39,19,64,32,28,12,38,0.259,0.16682499999999964,0.15611111111111112,0.14750000000000005,0.140357142857143,2.0786546016267087,0.33,0.04,0.09,0.1,0.43
LUCIADIMARCO2,1601,579,5054,0.012987012987012988,0.016883116883116882,3,0.0566,4631,1,10,35,22,47,43,7,63,35,8,16,40,0.2550000000000001,0.1559333333333334,0.15249999999999994,0.16350000000000006,0.14375,3.365079365079365,0.59,0,0.12,0.12,0.17
RodaLarga,505,259,1486,0.047111839410077835,0.18271200327734535,4,0.02339,33,19,39,37,50,42,68,20,66,42,34,32,32,0.261,0.1793833333333329,0.16666666666666663,0.11666666666666668,0.1614285714285715,3.2749054224464063,0.45,0.13,0.21,0.04,0.17
ardesa32,2003,1240,4882,0.0,0.0,2,0.0202,147,?,16,41,25,46,22,12,51,38,8,13,39,0.23500000000000018,0.1442499999999999,0.14333333333333337,0.13850000000000004,0.12321428571428569,3.2439024390243905,0.89,0.03,0.04,0,0.04
zeropregi,2215,20800,177000,0.03900975243810953,0.019504876219054765,16,0.14679,21400,9,12,52,16,48,68,12,58,32,9,12,38,0.25400000000000017,0.13230000000000008,0.16000000000000003,0.1295000000000001,0.1278571428571429,4.173316452134992,0.5,0.02,0.03,0.04,0.4
LireMille,176,199,474,0.0,0.015127388535031847,4,0.03008,208,?,12,75,28,48,35,18,60,35,9,17,39,0.258,0.11880000000000021,0.1283333333333333,0.13999999999999999,0.11267857142857143,5.057697016920588,0.56,0.09,0.05,0.15,0.16
teresagrisotti,567,462,1574,0.09424920127795527,0.09744408945686901,7,0.16279,229,0,15,22,19,45,57,8,71,30,10,18,33,0.21600000000000003,0.17233333333333337,0.13833333333333328,0.17949999999999997,0.1362500000000001,1.4506720522207148,0.42,0.03,0.18,0.23,0.13
SensoDiNausea,1770,1026,8770,0.009291521486643438,0.1132404181184669,10,0.07463,54,1,11,40,16,53,41,9,56,36,8,16,39,0.25300000000000017,0.12330000000000013,0.16000000000000003,0.16250000000000006,0.10821428571428574,2.472935122828275,0.51,0.12,0.13,0.19,0.05
baglivosimone,959,476,4610,8.080808080808081E-4,0.00808080808080808,32,0.13502,8,0,12,21,16,61,17,7,40,48,8,15,40,0.22099999999999997,0.12170000000000006,0.15249999999999994,0.14950000000000002,0.0869642857142857,2.367720511244925,0.39,0.06,0.09,0.12,0.33
spoletogioielli,1335,1210,487,7.407407407407407E-4,0.03777777777777778,5,0.02304,241,0,16,21,16,45,14,7,63,38,8,17,39,0.256,0.13253333333333328,0.13833333333333347,0.14150000000000007,0.09785714285714282,1.0625,0,0,0,0.33,0.67
Veg4nR3volUtion,188,120,17900,0.0,0.00964630225080386,53,0.20623,12,0,10,44,19,51,16,10,46,63,9,10,39,0.2229999999999999,0.12285000000000006,0.1441666666666666,0.1311666666666667,0.08285714285714287,2.513453673437936,0.47,0.11,0.09,0.11,0.22
Angil76,2000,736,3645,0.0033783783783783786,0.0,3,0.01471,637,0,13,23,21,43,18,7,54,46,9,14,37,0.2629999999999999,0.12433333333333353,0.1341666666666666,0.148,0.11357142857142873,1.4485907105994442,0.41,0.09,0.11,0.06,0.33
b090706,1929,543,2379,0.030329289428076257,0.02079722703639515,19,0.2043,36,0,12,29,28,54,32,8,63,31,11,14,35,0.276,0.1480999999999999,0.16,0.13899999999999993,0.1083928571428573,3.5291661203442715,0.45,0.1,0.04,0.06,0.36
VMalagutti,160,2392,1439,0.00655307994757536,0.0871559633027523,4,0.02174,45,0,14,42,16,44,30,10,58,43,8,20,37,0.24499999999999997,0.12445000000000006,0.13999999999999987,0.11383333333333331,0.09696428571428573,3.358984837716181,0.46,0.01,0.04,0.09,0.4
ezuccala,1346,1161,3041,0.03436988543371522,0.11538461538461539,35,0.36082,329,?,12,36,41,46,56,9,60,32,16,29,27,0.23800000000000004,0.1601999999999999,0.18916666666666673,0.17099999999999993,0.15000000000000016,3.3417763531985734,0.54,0.24,0.06,0.07,0.08
Lavinialuca1,83,76,4298,0.31137724550898205,0.08383233532934131,1,0.07692,18,0,15,29,16,40,55,11,87,16,40,12,39,0.20300000000000015,0.18870000000000087,0.12666666666666676,0.1970000000000001,0.09214285714285755,1.2183406113537119,0.37,0.04,0.16,0.04,0.39
sydbarrett76,1633,1265,22400,0.05238917674150835,0.03223949337938975,14,0.0875,4818,2,11,74,24,47,37,15,55,52,10,21,46,0.203,0.13170000000000026,0.1483333333333334,0.11149999999999997,0.15357142857142866,2.420723701829704,0.31,0.09,0.1,0.18,0.32
robertopacidalo,299,641,3983,0.05617147080561715,0.031042128603104215,3,0.01754,109,?,20,21,33,48,42,11,53,30,16,22,33,0.2630000000000002,0.18034999999999943,0.1433333333333334,0.15650000000000008,0.1601785714285714,7.523809523809524,0.1,0.04,0.04,0.07,0.76
pietroraffa,980,6284,44700,0.02107481559536354,0.02370916754478398,6,0.03681,7942,10,10,34,16,52,34,10,52,29,11,14,41,0.23299999999999993,0.1233000000000001,0.13833333333333334,0.11100000000000004,0.1066071428571428,4.156954236967929,0.43,0.29,0.05,0.04,0.19
marianotomatis,31,1498,6852,0.023963133640552997,0.03917050691244239,6,0.03509,267,0,12,21,17,51,34,7,59,36,11,17,35,0.2440000000000002,0.13904999999999998,0.15333333333333327,0.12550000000000003,0.11767857142857126,2.617359690979323,0.33,0.06,0,0.26,0.34
