@relation Mood_sharing

@attribute usedName string
@attribute following numeric
@attribute follower numeric
@attribute numOfTweets numeric
@attribute mentionScore numeric
@attribute hashtagScore numeric
@attribute numOfArticleShared numeric
@attribute numOfArticleSharedDist numeric
@attribute numOfFavorities numeric
@attribute numOfList numeric
@attribute upbeat numeric
@attribute worried numeric
@attribute angry numeric
@attribute depress numeric
@attribute plugedIn numeric
@attribute personable numeric
@attribute distant numeric
@attribute spacy numeric
@attribute analytic numeric
@attribute sensory numeric
@attribute inTheMoment numeric
@attribute openness numeric
@attribute consciousness numeric
@attribute extraversion numeric
@attribute agreeableness numeric
@attribute neuroticism numeric
@attribute avglikes numeric
@attribute mood_indignant numeric
@attribute mood_disappointed numeric
@attribute mood_worried numeric
@attribute mood_amused numeric
@attribute mood_satisfied numeric
@data
Franzs5S,2545,2654,2939,0.005583126550868486,0.03970223325062035,2,0.0125,117,0,10,49,16,55,45,12,55,26,8,12,40,0.24099999999999994,0.1314000000000003,0.13249999999999998,0.1155,0.13053571428571434,1.927927927927928,0.3,0.09,0.03,0.03,0.55
martaserafini,1733,7905,13000,0.038335158817086525,0.05585980284775466,100,0.62893,1718,6,15,28,18,40,36,10,53,36,11,15,39,0.23600000000000002,0.1313500000000001,0.13583333333333333,0.1684999999999999,0.09928571428571428,3.4457620098283432,0.4,0.13,0.08,0.1,0.29
dangdaide,199,23,848,0.0,0.0012978585334198572,46,0.19492,1,0,17,25,19,43,14,9,33,56,9,12,39,0.23500000000000004,0.11030000000000009,0.12999999999999998,0.126,0.07803571428571426,3.689220747252903,0.5,0.08,0.05,0.05,0.32
tdhitaly,680,4877,6795,0.02232435981615233,0.07156927117531188,38,0.19588,1962,17,14,22,19,45,38,7,54,33,8,15,34,0.245,0.11845000000000025,0.13333333333333333,0.13300000000000012,0.11124999999999999,3.6025506117525765,0.55,0.22,0.07,0.02,0.14
MarcoScanavacca,84,151,4667,0.041970802919708027,0.014598540145985401,5,0.125,348,1,12,38,23,89,38,11,73,35,9,11,37,0.24500000000000002,0.18289999999999934,0.17916666666666664,0.14150000000000007,0.15803571428571414,4.0380514082598555,0.46,0.24,0.1,0.04,0.16
CafaroGiorgio,2617,4856,12000,0.011352418558736426,0.12783810463968412,5,0.04202,0,0,15,67,18,45,61,18,58,38,11,18,38,0.252,0.11050000000000017,0.13583333333333328,0.12,0.09410714285714282,3.323200921128382,0.77,0.02,0.03,0.02,0.17
netnewsmaker,2002,1215,6305,0.03195610071013557,0.20852162685603615,76,0.31667,1736,31,12,23,23,51,57,8,56,43,9,22,39,0.2430000000000001,0.173933333333333,0.15500000000000005,0.16200000000000006,0.11803571428571424,1.5744492502152532,0.2,0.03,0.06,0.12,0.59
flaucy65,2001,566,3002,0.03553299492385787,0.043993231810490696,2,0.0339,240,?,13,36,17,67,40,11,50,68,10,15,41,0.2570000000000001,0.1576333333333336,0.16166666666666665,0.159,0.11732142857142873,1.03125,0.07,0.07,0.03,0.2,0.65
VvfUilPA,69,58,229,0.021683673469387755,0.01403061224489796,14,0.11864,3,0,8,24,16,63,23,6,47,24,8,10,41,0.2680000000000001,0.16540000000000002,0.1836111111111112,0.19800000000000006,0.13982142857142865,1.739433845127381,0.4,0.23,0.11,0.07,0.19
michelelomonaco,653,111,7435,0.0,0.0024622960911049553,27,0.11392,63,0,13,31,23,50,14,9,61,59,10,20,37,0.20000000000000007,0.12190000000000017,0.1466666666666667,0.12399999999999997,0.07214285714285718,2.187149460556826,0.33,0.05,0.12,0.13,0.37
